Category	Name	IntegratesRatchet	Series
Blade	魔像奇岩	false	UX
Blade	魔導幻箭	false	BX
Blade	魔導神杖	false	UX
Blade	魔獸護甲	false	BX,UX
Blade	鱷魚粉碎	false	BX
Blade	Clamp Crab	false	UX
Blade	Cutter Shinobi	false	UX
Blade	Gust Bat	false	BX
Blade	Hack Viking	false	UX
Blade	Rampart Aegis	false	UX
Blade	Savage Bear	false	BX
Blade	Seize Jaguar	false	UX
Blade	Shatter Horus	false	BX
Blade	Stun Medusa	false	BX
Blade	Suppress Superion	false	BX
Blade	Valor Bison	false	UX
Blade	Yell Kong	false	BX
Ratchet	0-60	false	CX
Ratchet	0-70	false	BX,CX,UX
Ratchet	0-80	false	BX,CX,UX
Ratchet	1-50	false	CX
Ratchet	1-60	false	BX,CX,UX
Ratchet	1-70	false	BX,CX
Ratchet	1-80	false	BX,CX,UX
Ratchet	2-60	false	BX,CX,UX
Ratchet	2-70	false	BX,CX,UX
Ratchet	2-80	false	BX,UX
Ratchet	3-60	false	BX,CX
Ratchet	3-70	false	BX,CX,UX
Ratchet	3-80	false	BX,UX
Ratchet	3-85	false	BX,CX,UX
Ratchet	4-50	false	BX,UX
Ratchet	4-55	false	BX,CX,UX
Ratchet	4-60	false	BX,CX,UX
Ratchet	4-70	false	BX,CX,UX
Ratchet	4-80	false	BX,UX
Ratchet	5-50	false	CX
Ratchet	5-60	false	BX,UX
Ratchet	5-70	false	BX,CX,UX
Ratchet	5-80	false	BX,CX,UX
Ratchet	6-60	false	BX,CX,UX
Ratchet	6-70	false	BX
Ratchet	6-80	false	BX,CX
Ratchet	7-55	false	BX,CX,UX
Ratchet	7-60	false	BX,CX,UX
Ratchet	7-70	false	BX
Ratchet	7-80	false	BX
Ratchet	8-70	false	CX
Ratchet	8-80	false	UX
Ratchet	9-60	false	BX,UX
Ratchet	9-65	false	BX,CX,UX
Ratchet	9-70	false	CX,UX
Ratchet	9-80	false	BX,CX,UX
Ratchet	M-85	false	BX,UX
Bit	A	false	BX,CX,UX
Bit	B	false	BX,UX
Bit	BS	false	BX,UX
Bit	C	false	BX,UX
Bit	D	false	BX,CX
Bit	DB	false	BX,CX,UX
Bit	DS	false	BX,UX
Bit	E	false	BX,CX,UX
Bit	F	false	BX,CX,UX
Bit	FB	false	BX,UX
Bit	FF	false	BX
Bit	G	false	UX
Bit	GB	false	BX,UX
Bit	GF	false	BX,CX,UX
Bit	GN	false	BX,CX,UX
Bit	GP	false	BX,UX
Bit	GR	false	CX
Bit	GU	false	BX,CX,UX
Bit	H	false	BX,UX
Bit	HN	false	BX,UX
Bit	HT	false	BX,CX
Bit	I	false	CX
Bit	J	false	UX
Bit	K	false	BX,CX,UX
Bit	L	false	BX,CX,UX
Bit	LF	false	BX,UX
Bit	LO	false	BX,CX,UX
Bit	LP	false	BX
Bit	LR	false	UX
Bit	M	false	BX
Bit	MN	false	UX
Bit	N	false	BX,UX
Bit	Nr	false	CX
Bit	O	false	BX,CX,UX
Bit	Op	true	CX
Bit	P	false	BX,UX
Bit	Q	false	BX,UX
Bit	R	false	BX,UX
Bit	RA	false	BX
Bit	S	false	BX,UX
Bit	T	false	BX,CX
Bit	TK	false	CX
Bit	TP	false	BX,CX
Bit	Tr	true	CX
Bit	U	false	BX,CX
Bit	UF	false	UX
Bit	UN	false	CX,UX
Bit	V	false	BX,CX
Bit	W	false	BX,CX,UX
Bit	WB	false	BX,CX,UX
Bit	WW	false	CX
Bit	Y	false	CX
Bit	Z	false	UX
LockChip	天馬	false	CX
LockChip	巨鯨	false	CX
LockChip	邪神	false	CX
LockChip	帝王	false	CX
LockChip	英仙	false	CX
LockChip	迪卡	false	CX
LockChip	海怪	false	CX
LockChip	惡魔	false	CX
LockChip	焰神	false	CX
LockChip	腕龍	false	CX
LockChip	雄鹿	false	CX
LockChip	雄獅	false	CX
LockChip	黃蜂	false	CX
LockChip	新世紀福音戰士	false	CX
LockChip	極狐	false	CX
LockChip	蒼龍	false	CX
LockChip	銀狼	false	CX
LockChip	鳳凰	false	CX
LockChip	戰神	false	CX
LockChip	戰犀	false	CX
LockChip	獨角	false	CX
LockChip	龍王	false	CX
LockChip	龍神	false	CX
LockChip	騎士	false	CX
LockChip	魔犬	false	CX
LockChip	魔導	false	CX
LockChip	鱷魚	false	CX
LockChip	ENLIL	false	CX
MainBlade	九尾	false	CX
MainBlade	伏特	false	CX
MainBlade	至尊	false	CX
MainBlade	扭擺	false	CX
MainBlade	勇氣	false	CX
MainBlade	威能	false	CX
MainBlade	幽冥	false	CX
MainBlade	狩獵	false	CX
MainBlade	要塞	false	CX
MainBlade	烈焰	false	CX
MainBlade	閃焰	false	CX
MainBlade	滅世	false	CX
MainBlade	獠牙	false	CX
MainBlade	戰角	false	CX
MainBlade	獵魂	false	CX
MainBlade	爆擊	false	CX
OverBlade	B	false	CX
OverBlade	F	false	CX
OverBlade	G	false	CX
OverBlade	I	false	CX
OverBlade	O	false	CX
OverBlade	P	false	CX
OverBlade	T	false	CX
MetalBlade	狂怒	false	CX
MetalBlade	閃擊	false	CX
MetalBlade	堡壘	false	CX
MetalBlade	極變	false	CX
MetalBlade	碾壓	false	CX
MetalBlade	鞭打	false	CX
MetalBlade	HURRICANE	false	CX
AssistBlade	A	false	CX
AssistBlade	B	false	CX
AssistBlade	C	false	CX
AssistBlade	D	false	CX
AssistBlade	E	false	CX
AssistBlade	F	false	CX
AssistBlade	G	false	CX
AssistBlade	H	false	CX
AssistBlade	J	false	CX
AssistBlade	K	false	CX
AssistBlade	M	false	CX
AssistBlade	O	false	CX
AssistBlade	Q	false	CX
AssistBlade	R	false	CX
AssistBlade	S	false	CX
AssistBlade	T	false	CX
AssistBlade	V	false	CX
AssistBlade	W	false	CX
AssistBlade	Z	false	CX
